"start","end","downloads","package"
2015-02-01,2015-02-28,1365,"adehabitatLT"
2015-03-01,2015-03-31,1929,"adehabitatLT"
2015-04-01,2015-04-30,2011,"adehabitatLT"
2015-05-01,2015-05-31,1443,"adehabitatLT"
2015-06-01,2015-06-30,1549,"adehabitatLT"
2015-07-01,2015-07-31,1430,"adehabitatLT"
2015-08-01,2015-08-31,1471,"adehabitatLT"
2015-09-01,2015-09-30,1469,"adehabitatLT"
2015-10-01,2015-10-31,1867,"adehabitatLT"
2015-11-01,2015-11-30,1958,"adehabitatLT"
2015-12-01,2015-12-31,1188,"adehabitatLT"
2016-01-01,2016-01-31,1269,"adehabitatLT"
2016-02-01,2016-02-29,2849,"adehabitatLT"
2016-03-01,2016-03-31,2589,"adehabitatLT"
2016-04-01,2016-04-30,1332,"adehabitatLT"
2016-05-01,2016-05-31,1463,"adehabitatLT"
2016-06-01,2016-06-30,1474,"adehabitatLT"
2016-07-01,2016-07-31,1342,"adehabitatLT"
2016-08-01,2016-08-31,1370,"adehabitatLT"
2016-09-01,2016-09-30,2862,"adehabitatLT"
2016-10-01,2016-10-31,2871,"adehabitatLT"
2016-11-01,2016-11-30,2611,"adehabitatLT"
2016-12-01,2016-12-31,1431,"adehabitatLT"
2017-01-01,2017-01-31,1810,"adehabitatLT"
2017-02-01,2017-02-28,1803,"adehabitatLT"
2017-03-01,2017-03-31,2319,"adehabitatLT"
2017-04-01,2017-04-30,1988,"adehabitatLT"
2017-05-01,2017-05-31,2010,"adehabitatLT"
2017-06-01,2017-06-30,1539,"adehabitatLT"
2017-07-01,2017-07-31,1648,"adehabitatLT"
2017-08-01,2017-08-31,1604,"adehabitatLT"
2017-09-01,2017-09-30,1883,"adehabitatLT"
2017-10-01,2017-10-31,2481,"adehabitatLT"
2017-11-01,2017-11-30,4904,"adehabitatLT"
2017-12-01,2017-12-31,2277,"adehabitatLT"
2018-01-01,2018-01-31,4603,"adehabitatLT"
2018-02-01,2018-02-28,2500,"adehabitatLT"
2018-03-01,2018-03-31,2938,"adehabitatLT"
2018-04-01,2018-04-30,2704,"adehabitatLT"
2018-05-01,2018-05-31,2557,"adehabitatLT"
2018-06-01,2018-06-30,2375,"adehabitatLT"
2018-07-01,2018-07-31,2193,"adehabitatLT"
2018-08-01,2018-08-31,2230,"adehabitatLT"
2018-09-01,2018-09-30,2992,"adehabitatLT"
2018-10-01,2018-10-31,3964,"adehabitatLT"
2018-11-01,2018-11-30,4655,"adehabitatLT"
2018-12-01,2018-12-31,3033,"adehabitatLT"
2019-01-01,2019-01-31,3908,"adehabitatLT"
2019-02-01,2019-02-28,3622,"adehabitatLT"
2019-03-01,2019-03-31,4428,"adehabitatLT"
2019-04-01,2019-04-30,6502,"adehabitatLT"
2019-05-01,2019-05-31,5988,"adehabitatLT"
2019-06-01,2019-06-30,3935,"adehabitatLT"
2019-07-01,2019-07-31,4672,"adehabitatLT"
2019-08-01,2019-08-31,4165,"adehabitatLT"
2019-09-01,2019-09-30,4538,"adehabitatLT"
2019-10-01,2019-10-31,5734,"adehabitatLT"
2019-11-01,2019-11-30,5325,"adehabitatLT"
2019-12-01,2019-12-31,3971,"adehabitatLT"
2020-01-01,2020-01-31,6550,"adehabitatLT"
2020-02-01,2020-02-29,5651,"adehabitatLT"
2020-03-01,2020-03-31,5062,"adehabitatLT"
2020-04-01,2020-04-30,5332,"adehabitatLT"
2020-05-01,2020-05-07,878,"adehabitatLT"
2015-01-01,2015-01-31,1203,"adehabitatMA"
2015-02-01,2015-02-28,1219,"adehabitatMA"
2015-03-01,2015-03-31,1819,"adehabitatMA"
2015-04-01,2015-04-30,2098,"adehabitatMA"
2015-05-01,2015-05-31,1540,"adehabitatMA"
2015-06-01,2015-06-30,1700,"adehabitatMA"
2015-07-01,2015-07-31,1543,"adehabitatMA"
2015-08-01,2015-08-31,1559,"adehabitatMA"
2015-09-01,2015-09-30,1727,"adehabitatMA"
2015-10-01,2015-10-31,2199,"adehabitatMA"
2015-11-01,2015-11-30,2215,"adehabitatMA"
2015-12-01,2015-12-31,1430,"adehabitatMA"
2016-01-01,2016-01-31,1536,"adehabitatMA"
2016-02-01,2016-02-29,3078,"adehabitatMA"
2016-03-01,2016-03-31,2794,"adehabitatMA"
